complete percentages,dataset 1
GA2_ls,0.776986779501017
GA5_ls,0.788801262946045
GA10_ls,0.859932298775492
GA20_ls,0.883887084986263
GA30_ls,0.888498497581564
GA2,0.975069825607828
GA20,1.09465449485348
GA5,1.12957459287674
GA10,1.13499221132968
GA30,1.15727466037757
TLBO_ls,1.59150720589816
TLBO_ls_v2,1.6275996109138
LBO_ls,1.67783186696221
TLBO,1.83805221526872
LBO_ls_v2,1.86381546790955
TLBO_v2,1.89978560307329
LBO,2.0751263982167
LBO_v2,2.17489568781563
J30_ls,2.89770491932017
J30_v2,2.96297441955809
J30,2.99999667680785
J30_ls_v2,3.00399501262207
T30_v2,4.01362582114644
J15_ls_v2,4.16302363390493
J15_ls,4.20995596434988
T15_v2,4.46834515947402
T30_ls_v2,4.57054310737638
T30,4.73226907112769
T30_ls,4.77769582911983
T7_v2,5.28202421801411
J15_v2,5.3697534943002
J7_ls,5.50642887043575
T15_ls,5.53232006479728
T15_ls_v2,5.64661810202553
J7_ls_v2,5.72373225415739
T3_v2,5.86338550141686
J15,5.88463616303682
T15,5.92523419378309
T7_ls_v2,6.07962321229507
T7_ls,6.10064639592843
T3_ls_v2,6.40467470346261
T3_ls,6.60501752832256
J3_ls,6.61971380337877
T7,6.74832572435697
J3_ls_v2,6.96730581277608
T1_ls,7.13925695870701
T1_ls_v2,7.17940715087962
J7_v2,7.44652284458644
T3,7.61367772043802
T1_v2,8.4017692600262
J7,8.85762964892456
C30_ls_v2,9.83630368923836
C30_ls,9.9025210709336
J3_v2,9.94006064900968
T1,10.0312017863336
C7_ls_v2,10.1141336935174
C15_ls_v2,10.1383846088426
C3_ls_v2,10.2454695628499
C15_ls,10.2747295837267
J1_ls_v2,10.4168349505648
C1_ls_v2,10.4636448891239
C7_ls,10.7276058839511
C3_ls,10.8087032932707
C30_v2,10.8158443703404
C1_ls,11.2135383072682
C15_v2,11.433314655521
J1_ls,11.6057827828471
J3,11.7816040134932
C7_v2,11.985199193565
C3_v2,12.4865100685758
C1_v2,12.7072435555223
C30,14.2120050749488
VND,14.9279677659576
C15,15.1533656323253
C7,15.4737229979712
C3,15.9285439901388
C1,16.3426862368102
LS,16.847936546601
J1_v2,20.0826044823144
J1,23.6093678128161
LF,23.6536663408395
control,24.895049711513
